Game_ID,Xbox_NA_Sales,Xbox_EU_Sales,Xbox_JP_Sales,Xbox_RoW_Sales,Xbox_Global_Sales
421,0,0,0,0,0
427,0,0,0,0,0
428,0,0,0,0,0
435,0,0,0,0,0
438,0,0,0,0,0
440,0,0,0,0,0
441,0,0,0,0,0
447,0,0,0,0,0
449,0,0,0,0,0
450,0,0,0,0,0
455,0,0,0,0,0
456,0,0,0,0,0
459,0,0,0,0,0
460,0,0,0,0,0
461,0,0,0,0,0
463,0,0,0,0,0
464,0,0,0,0,0
465,0,0,0,0,0
471,0,0,0,0,0
472,0,0,0,0,0
473,0,0,0,0,0
475,0,0,0,0,0
486,0,0,0,0,0
490,0,0,0,0,0
491,0,0,0,0,0
492,0,0,0,0,0
493,0,0,0,0,0
494,0,0,0,0,0
495,0,0,0,0,0
496,0,0,0,0,0
498,0,0,0,0,0
499,0,0,0,0,0
504,0,0,0,0,0
505,0,0,0,0,0
506,0,0,0,0,0
508,0,0,0,0,0
509,0,0,0,0,0
510,0,0,0,0,0
511,0,0,0,0,0
512,0,0,0,0,0
513,0,0,0,0,0
514,0,0,0,0,0
515,0,0,0,0,0
516,0,0,0,0,0
517,0,0,0,0,0
518,0,0,0,0,0
519,0,0,0,0,0
